[Tue Mar 10 23:28:06 2009] [error] [client 127.0.0.1] Premature end of script headers: , referer: http://moneysaver.local/users/4/clipped_coupons
[Tue Mar 10 23:49:49 2009] [error] [client 127.0.0.1] Premature end of script headers: , referer: http://moneysaver.local/signup
[Wed Mar 11 00:25:25 2009] [error] [client 127.0.0.1] Premature end of script headers: , referer: http://moneysaver.local/
[Wed Mar 11 01:56:08 2009] [error] [client 127.0.0.1] Premature end of script headers: , referer: http://moneysaver.local/users/1/clipped_coupons
[Thu Mar 12 18:11:38 2009] [error] [client 127.0.0.1] Premature end of script headers: 1, referer: http://moneysaver.local/accounts/1/businesses/1/edit
[Thu Mar 12 18:16:32 2009] [error] [client 127.0.0.1] Premature end of script headers: 1, referer: http://moneysaver.local/accounts/1/businesses/1/edit
[Thu Mar 12 23:08:06 2009] [error] [client 127.0.0.1] Premature end of script headers: 1, referer: http://moneysaver.local/accounts/1/coupon_templates/1/edit
[Thu Apr 09 12:48:02 2009] [error] [client 127.0.0.1] Premature end of script headers: Pizza Hut, referer: http://moneysaver.local/users/1/clipped_coupons
[Sun May 02 15:59:44 2010] [error] [client 127.0.0.1] Premature end of script headers: themes, referer: http://suncoast.local/
[Sun May 02 18:00:33 2010] [error] [client 127.0.0.1] Premature end of script headers: themes, referer: http://buckeye.local/
[Sun May 02 18:01:34 2010] [error] [client 127.0.0.1] Premature end of script headers: themes, referer: http://buckeye.local/
[Sun May 02 19:11:15 2010] [error] [client 127.0.0.1] Premature end of script headers: themes, referer: http://buckeye.local/
[Sun May 02 19:13:43 2010] [error] [client 127.0.0.1] Premature end of script headers: themes, referer: http://buckeye.local/
[Sun May 02 19:19:18 2010] [error] [client 127.0.0.1] Premature end of script headers: themes, referer: http://buckeye.local/
[Sun May 02 19:20:46 2010] [error] [client 127.0.0.1] Premature end of script headers: themes, referer: http://buckeye.local/
[Fri May 14 21:47:24 2010] [error] [client 127.0.0.1] Premature end of script headers: themes, referer: http://cms.local/
[Sat May 15 16:41:24 2010] [error] [client 127.0.0.1] Premature end of script headers: themes, referer: http://cms.local/
[Wed Jun 16 11:08:31 2010] [error] [client 127.0.0.1] Premature end of script headers: ads, referer: http://moneysaver.local/
[Wed Jun 16 12:09:24 2010] [error] [client 127.0.0.1] Premature end of script headers: themes, referer: http://buckeye.local/
